text,type,freq,current_candidate,surface_form,in_predictions,context
bệnh dại,CHẨN_ĐOÁN,35,A82.9,Bệnh dại,1,"Em chào bác sỹ Cho em hỏi em có bị thương nhẹ ở tay nhưng bị chảy máu,sau đó khoảng 10 phút em có chơi với 1 con chó con nhà em (chó chưa tiêm dại) tuổi có có dính nước dãi của chó con vào tay. Hôm qua em vô tình đọc được thông tin là nếu dính nước dãi chó vẫn có nguy cơ lây bệnh dại. Vậy bác sỹ cho em hỏi trong trường hợp của em có bị sao không ạ? || Mong nhận được sự tư vấn của bác sỹ Câu trả lời của bác sĩ: Chào bạn, Để giải đáp thắc mắc của bạn, tôi xin chia sẻ một số thông tin như sau: Bệnh dại chỉ không chỉ lây qua vết cắn của động vật. Đường lây bệnh dại phổ biến nhất là do bị động vật dại cắn."
tăng huyết áp,CHẨN_ĐOÁN,28,I10,Tăng huyết áp,1,"- béo phì - Tăng huyết áp nguyên phát. Tiền sử phẫu thuật / thủ thuật: Sinh thiết nội mạc tử cung gần đây || - Bệnh bạch cầu dòng tủy mãn tính đang dùng gleevec - Tăng huyết áp - tăng lipid máu, không đặc hiệu"
mày đay vô căn,CHẨN_ĐOÁN,19,L50.1,mày đay vô căn,1,"Nhuộm huỳnh quang miễn dịch tổn thương sinh thiết không thấy có hình ảnh của lắng đọng các phức hợp miễn dịch, bổ thể hay sợi fibrin. Đối với bệnh lý mày đay vô căn, để lâu thường không có biến chứng gì nặng, chủ yếu bệnh làm ảnh hưởng tới chất lượng cuộc sống. Mày đay vô căn là một bệnh mạn tính, việc điều trị phải lâu dài và liên tục. || Đối với bệnh lý mày đay vô căn, để lâu thường không có biến chứng gì nặng, chủ yếu bệnh làm ảnh hưởng tới chất lượng cuộc sống. Mày đay vô căn là một bệnh mạn tính, việc điều trị phải lâu dài và liên tục. Quá trình điều trị chỉ là điều trị triệu chứng."
đái tháo đường,CHẨN_ĐOÁN,13,E11.9,đái tháo đường,1,"ăng huyết áp.Rối loạn lipid máu. Đái tháo đường.2. Bệnh sử Lý do vào viện: Cơn rối loạn ý thức thoáng qua, nghi ngờ cơn co giật. || • Tăng huyết áp • Đái tháo đường • Rối loạn lipid máu"
suy kiệt,CHẨN_ĐOÁN,12,R64,suy kiệt,1,"- Toàn trạng suy kiệt kể từ khi xuất viện - ảo giác dai dẳng - Lú lẫn ngày càng nặng || - Ăn uống kém, ăn vào dễ nôn. - Nôn không ra máu, không ra dịch mật • Bệnh amyloidosis chuỗi nhẹ • Bệnh amyloidosis tự miễn dịch • Bệnh amyloidosis di truyền hoặc gia đình Bệnh thoái hóa tinh bột là một bệnh đa hệ thống dẫn đến nhiều biểu hiện lâm sàng khác nhau, Hiện nay chưa có phương pháp điều trị tận gốc amyloidosis.Tuy nhiên, các phương pháp điều trị có thể giúp bạn kiểm soát các triệu chứng "
thiếu men,CHẨN_ĐOÁN,12,D55.0,thiếu men,1,1. Thiếu men G6PD là bệnh gì? Thiếu men G6PD (Glucose-6-Phosphate Dehydrogenase) là một bệnh di truyền lặn liên kết với nhiễm sắc thể X. || Thiếu men G6PD là bệnh gì? Thiếu men G6PD (Glucose-6-Phosphate Dehydrogenase) là một bệnh di truyền lặn liên kết với nhiễm sắc thể X. Trẻ mắc bệnh là do nhận gen lặn bất thường trên nhiễm sắc thể giới tính từ bố và/hoặc mẹ.
nhiễm khuẩn đường tiết niệu,CHẨN_ĐOÁN,11,N39.0,nhiễm khuẩn đường tiết niệu,1,"- ảo giácxuất hiện khoảng một tháng trước. - Đã được điều trị nhiễm khuẩn đường tiết niệu, vị trí không xác định. - Thuốc giảm đau đã ngừng. || - Thuốc giảm đau đã ngừng. - Không có thay đổi đáng kể về triệu chứng mặc dù đã điều trị nhiễm khuẩn đường tiết niệu, vị trí không xác định và ngừng thuốc giảm đau. - Liều gleevec đã ngừng cách nhập viện 5 ngày."
viêm dạ dày ruột do virus,CHẨN_ĐOÁN,11,A08.4,viêm dạ dày ruột do virus,1,"- Tái phát buồn nôn và tiêu chảy cách đây vài năm - Nôn ra máu 2 tuần sau tập viêm dạ dày ruột do virus - Nôn ra máu trong 2 ngày qua || - Tập viêm dạ dày ruột do virus (trong năm nay) - Tiếp tục khó khăn khi ăn uống qua đường miệng, buồn nôn và tiêu chảy (2 tuần sau tập viêm dạ dày ruột do virus) - Nôn ra máu (2 tuần sau tập viêm dạ dày ruột do virus)"
béo phì,CHẨN_ĐOÁN,10,E66.9,béo phì,1,"Kinh nguyệt của bạn thưa, uống thuốc tránh thai kinh nguyệt bình thường bạn cần đi khám để đánh giá bệnh lý cụ thể. Rất có thể bạn bị Hội chứng buồng trứng đa nang (bao gồm rậm lông, béo phì, siêu âm buồng trứng có nhiều nang …) và đây cũng là nguyên nhân gây vô sinh. Chúc bạn nhiều sức khoẻ! || - béo phì - Tăng huyết áp nguyên phát. Tiền sử phẫu thuật / thủ thuật: Sinh thiết nội mạc tử cung gần đây"
bệnh thoái hóa tinh bột,CHẨN_ĐOÁN,10,E85.9,Bệnh thoái hóa tinh bột,1,"Cảm ơn bạn đã gửi câu hỏi cho chúng tôi. Trả lời câu hỏi của bạn:Bệnh thoái hóa tinh bột (hay bệnh amyloidosis) là một bệnh gây lắng đọng protein hiếm gặp và nghiêm trọng. Nguyên nhân là do một loại protein bất thường gọi là amyloid tích tụ trong các mô hoặc cơ quan. || Cuối cùng, sự lắng đọng protein amyloid sẽ bắt đầu gây ra các triệu chứng và suy các cơ quan, thậm chí có thể gây tử vong. Tình trạng lắng đọng của protein amyloid trong bệnh thoái hóa tinh bột có thể khu trú ở bất kỳ cơ quan nào trong cơ thể, chẳng hạn như phổi, da, bàng quang hoặc ruột hay có thể là toàn thân. Đây cũng là dạng phổ biến nhất."
